name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,cost,listing_type,listed_city,high_performer
The Hub - Ibis Hotel,0,0,3.5,29,Richmond Road,Bar,,"Finger Food, Fast Food, Continental",2200.0,Drinks & nightlife,Church Street,0
Retro Lounge Bar,0,1,3.8,108,Ulsoor,Bar,"Pepper Prawns, Fries, Chicken Biryani","North Indian, Chinese",1400.0,Drinks & nightlife,Church Street,0
Flame Pub & Restaurant - Brigade Garden,0,0,2.9,24,Brigade Road,"Bar, Casual Dining",,"North Indian, South Indian, Continental, Chinese",1900.0,Drinks & nightlife,Church Street,0
Liquid Lounge - Hyatt Centric MG Road,0,1,4.0,97,Ulsoor,Lounge,Cocktails,"Finger Food, Continental, Chinese",2400.0,Drinks & nightlife,Church Street,0
Page 3 Multicuisine Restaurant & Bar,0,0,3.5,14,Residency Road,Bar,,"North Indian, Chinese, Finger Food",800.0,Drinks & nightlife,Church Street,0
White Plate,0,1,4.2,258,MG Road,"Casual Dining, Bar","Cocktails, Tom Yum Soup, Lobster Bisque, Lobster Risotto, Pulled Pork, Lamb, Asparagus Risotto","Thai, Continental, North Indian",1500.0,Drinks & nightlife,Church Street,1
MM Bar & Restaurant,0,0,3.4,6,Shivajinagar,Bar,,"South Indian, North Indian",700.0,Drinks & nightlife,Church Street,0
Luscious - St. Mark's Hotel,0,0,3.7,11,St. Marks Road,Lounge,,"North Indian, Continental",1200.0,Drinks & nightlife,Church Street,0
The Charlton Bar,0,0,3.3,4,Residency Road,Bar,,"Chinese, North Indian",1000.0,Drinks & nightlife,Church Street,0
Hammered,1,1,4.7,4677,Cunningham Road,"Pub, Cafe","Crispy Corn, Sangria, Chicken Satay, Masala Fries, Wood Fire Pizza, Pesto Pasta, Cocktails","North Indian, Thai, Japanese, Continental, Cafe",1300.0,Drinks & nightlife,Church Street,1
Skylit - Citrus Hotels,0,1,4.0,324,Cunningham Road,Lounge,"Gulab Jamun, Sea Food, Bruschettas, Paneer Tikka, Gajar Halwa, Shahi Tukda, Biryani","North Indian, Mughlai, Mediterranean",1300.0,Drinks & nightlife,Church Street,1
Plan B,0,0,4.2,2022,Shanti Nagar,"Casual Dining, Pub","Chicken Wings, Burgers, Beer, Cocktails, Mocktails, Nachos, Chips","American, Finger Food, BBQ, Steak",1200.0,Drinks & nightlife,Church Street,1
Blue Bar - The Taj West End,0,1,4.0,113,Race Course Road,Lounge,"Cocktails, Beer, Spring Roll",Continental,2500.0,Drinks & nightlife,Church Street,0
Strikers Sports Bar and Music,0,1,3.8,73,Shanti Nagar,Bar,Beer,"Continental, North Indian, Chinese",1200.0,Drinks & nightlife,Church Street,0
The Whiskey Bar,0,1,3.7,43,Race Course Road,Bar,,"Finger Food, North Indian",2800.0,Drinks & nightlife,Church Street,0
Nostradamus Bar & Lounge,0,0,3.6,14,Cunningham Road,Bar,,"North Indian, South Indian, Chinese, Continental",1500.0,Drinks & nightlife,Church Street,0
Tea and Wine Lounge,0,0,3.5,10,Race Course Road,Cafe,,"Cafe, Tea, Desserts",800.0,Drinks & nightlife,Church Street,0
Sotally Tober,0,1,4.4,194,Residency Road,"Bar, Casual Dining","Cocktails, Sangria, Butter Chicken, Corn Fritters, Paneer Steak, Chicken Steak, Palak Paneer","Asian, Burger, Chinese, Finger Food",1200.0,Pubs and bars,Church Street,0
Oh! Calcutta,1,1,4.4,1112,Church Street,"Casual Dining, Bar","Fish, Curry Crab, Mocktails, Luchi, Kosha Mangsho, Sea Food, Daab Chingri","Bengali, Seafood",1200.0,Pubs and bars,Church Street,1
Easy Tiger,0,0,4.3,2244,Church Street,"Bar, Casual Dining","Peri Peri Chicken, Burgers, Cocktails, Beef Steak, Draught Beer, Chicken Sandwich, Peri Fries","Finger Food, Continental",1100.0,Pubs and bars,Church Street,1
Russh Gastropub,0,0,4.2,1289,Church Street,Pub,"Cocktails, Bruschettas, Beer, Tiramisu, Brownie, Chicken Popcorn, Nachos","Continental, Italian, Burger",1100.0,Pubs and bars,Church Street,1
Coconut Grove,0,1,3.9,681,Church Street,"Casual Dining, Bar","Beer, Pepper Chicken, Prawn Curry, Appam, Fry Prawns, Chicken Chettinad, Idiyappam","South Indian, Chettinad, Kerala, Seafood",1200.0,Pubs and bars,Church Street,0
20 Feet High,1,1,4.0,933,Church Street,"Casual Dining, Bar","Burgers, Mocktails, Pasta, Cocktails, Beef Steak, Lunch Buffet, Chicken Steak","American, Continental, Steak, Salad",1000.0,Pubs and bars,Church Street,1
Chugg,0,1,3.9,746,Church Street,Pub,"Beer, Butter Garlic Prawns, Potato Wedges, Nachos, Pasta, Cocktails, Burgers","Finger Food, Continental, Asian, North Indian",1500.0,Pubs and bars,Church Street,0
Arbor Brewing Company,0,1,4.5,8382,Brigade Road,"Pub, Microbrewery","Kamikaze, Long Island Iced Tea, Pizza, Hefeweizen, Craft Beer, Cocktails, Belgian Brew Beer","American, Continental, Salad",2000.0,Pubs and bars,Church Street,1
Hard Rock Cafe,0,1,4.5,5265,St. Marks Road,"Casual Dining, Bar","Burgers, Cocktails, Legendary Hrc Burger, Nachos, Sandwiches, Bloody Mary, Mocktails","American, BBQ",2500.0,Pubs and bars,Church Street,1
The Permit Room,0,0,4.5,1576,Brigade Road,"Casual Dining, Bar","Cocktails, Chicken Curry, Beer, Watermelon Mojito, Bbq Mushroom, Kokum Sharbat, Brain Fry",South Indian,1500.0,Pubs and bars,Church Street,1
MISU,1,1,4.6,1217,St. Marks Road,"Casual Dining, Bar","Sushi, Dumplings, Khau Suey, Noodles, Cocktails, Virgin Mojito, Drunken Beef","Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean",1700.0,Pubs and bars,Church Street,1
The Bar Stock Exchange,0,0,4.3,609,St. Marks Road,"Pub, Casual Dining","Sangria, Chole, Cocktails, Pizza, Nachos, Noodles, Fish","Continental, Chinese, North Indian, Finger Food",1300.0,Pubs and bars,Church Street,1
The Biere Club,1,1,4.3,3485,Lavelle Road,"Pub, Microbrewery","Wheat Beer, Pizza, Cocktails, Virgin Sangria, Pork Chops, Craft Beer, Meatballs","Continental, BBQ, Finger Food",1700.0,Pubs and bars,Church Street,1
SkyDeck By Sherlock's,0,1,4.2,1427,MG Road,"Pub, Casual Dining","Salad, Beer, Nachos, Chicken Wings, Onion Rings, Chilli Paneer, Roti","Continental, Chinese, Finger Food, North Indian",1500.0,Pubs and bars,Church Street,1
Fava,0,1,4.4,2041,Lavelle Road,"Casual Dining, Bar","Gnocchi, Cocktails, Pizza, Salads, Creme Brulee, Pasta, Sangria","Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab",1200.0,Pubs and bars,Church Street,1
Sunny's,0,1,4.1,1330,Lavelle Road,"Casual Dining, Bar","Penne Pasta, Pizza, Cocktails, Salads, Risotto, Sea Food, Crab Cake","European, Italian, Seafood, Continental",2100.0,Pubs and bars,Church Street,1
1Q1,0,1,4.3,596,Infantry Road,"Casual Dining, Bar","Cocktails, Stir Fried Noodles, Cheesecake, Jasmine Rice, Kung Pao Vegetables, Veg Sushi, Salad","Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",2500.0,Pubs and bars,Church Street,1
RockSalt,1,1,4.4,488,St. Marks Road,"Bar, Casual Dining","Roti, Cocktails, Chicken Biryani, Paratha, Dahi Ke Kabab, Jalebi, Chicken Tikka",Modern Indian,1900.0,Pubs and bars,Church Street,1
Double Decker,0,1,4.3,2658,Brigade Road,"Bar, Casual Dining","Bbq Pizza, Pasta, Sangria, Cocktails, Mocktails, Virgin Mojito, Potato Wedges","Continental, North Indian",1300.0,Pubs and bars,Church Street,1
The Barn - Bar & Kitchen,0,1,4.2,240,Brigade Road,Pub,"Cocktails, Beer","American, North Indian, Chinese",1500.0,Pubs and bars,Church Street,1
Tree Tops Bar & Kitchen,0,1,4.4,113,Lavelle Road,"Casual Dining, Bar","Cocktails, Pasta, Peri Peri Chicken Burger, Brownie, Jalapeno Poppers, Mocktails, Basil Pesto","North Indian, Chinese, Continental, Italian",1000.0,Pubs and bars,Church Street,0
Capri Gastrobar,0,1,4.3,286,St. Marks Road,"Bar, Casual Dining","Cocktails, Peri Peri Wings, Brownie, Burgers, Mezze Platter, Pizza, Fries","Mediterranean, Italian, Asian",1200.0,Pubs and bars,Church Street,1
The Rice Bowl,1,1,4.3,500,Lavelle Road,"Casual Dining, Bar","Rice Bowl, Lamb, Chocolava, Rolls, Paneer Manchurian, Momos, Singapore Chicken","Chinese, Momos",1300.0,Pubs and bars,Church Street,1
The Open Box,1,1,4.2,2272,St. Marks Road,"Casual Dining, Bar","Mocktails, Cocktails, Pizza, Butter Chicken Burger, Paan Ice Cream, Sangria, Margarita","European, North Indian, Mediterranean, Asian, Salad",1400.0,Pubs and bars,Church Street,1
Watson's,0,1,4.2,1428,Ulsoor,Pub,"Beer, Mocktails, Cocktails, Margherita Pizza, Supreme Pizza, Fish Chilli, Margarita","Finger Food, Salad, Chinese, Continental",1300.0,Pubs and bars,Church Street,1
Bangalore Pub Exchange,0,1,4.2,210,MG Road,"Pub, Casual Dining","Pizza, Fish, Cocktails, Pasta Alfredo, Brownie Chocolate, Biryani, Rumali Roti","Continental, Finger Food, Pizza, North Indian",1000.0,Pubs and bars,Church Street,1
The Spice Bazaar,0,1,4.2,332,Lavelle Road,"Casual Dining, Bar","Brownie, Mutton Seekh, Salads, Rasmalai, Tandoori Aloo, Mutton Soup, Custard","North Indian, Mughlai",1000.0,Pubs and bars,Church Street,1
Carnival de Goa,1,1,4.2,982,Ulsoor,"Casual Dining, Bar","Sea Food, Spicy Crab Soup, Cocktails, Squid Fry, Prawn Curry, Lobster, Fish Curry","Goan, Mangalorean, Pizza",1000.0,Pubs and bars,Church Street,1
Laughing Llama Gastropub,1,1,4.3,394,Brigade Road,"Bar, Casual Dining","Pancakes, Cocktails, Biryani, Draught Beer, Long Island Iced Tea, Nachos, Mocktails","Finger Food, Continental, Pizza",1600.0,Pubs and bars,Church Street,1
Plan B,0,0,4.2,4428,Brigade Road,"Casual Dining, Pub","Burgers, Beer, Veg Lasagna, Peri Peri Chicken Wings, Barbecue Wings, Sandwiches, Beef Steak","American, Continental, BBQ, Steak",1200.0,Pubs and bars,Church Street,1
Tiger Trail - Ramada Hotel,1,1,4.0,188,Shivajinagar,"Casual Dining, Bar","Biryani, Custard, Paratha, Poha, Breakfast Buffet, Thali, Dal Makhani","North Indian, Lucknowi",1300.0,Pubs and bars,Church Street,0
Smaaash,0,1,4.2,538,MG Road,"Casual Dining, Pub","Pizza, Nachos, Draught Beer, Pasta, Potli Biryani, Mojito, Long Island Iced Tea","North Indian, Pizza, Chinese",1500.0,Pubs and bars,Church Street,1
Pecos Classic,0,1,4.1,552,Brigade Road,"Pub, Casual Dining","Fried Rice, Draught Beer, Beef Chilli, Chicken Curry, Fish Fingers, French Fries",Finger Food,1100.0,Pubs and bars,Church Street,1
Puran da Dhaba - The Pride Hotel,1,0,4.0,164,Richmond Road,"Casual Dining, Bar","Paneer Tikka, Biryani, Hara Bhara Kebab, Gulab Jamun, Mocktails, Roti, Fish",North Indian,1700.0,Pubs and bars,Church Street,0
Ging - Royal Orchid Central,1,1,4.3,225,MG Road,"Bar, Casual Dining","Paneer Satay, Beer, Creme Brulee, Crispy Prawns",Asian,2000.0,Pubs and bars,Church Street,1
My Space - WelcomeHotel Bengaluru,0,0,3.9,23,Richmond Road,Bar,,Finger Food,2000.0,Pubs and bars,Church Street,0
Guzzlers Inn,0,0,4.0,949,Brigade Road,Pub,"Beer, Manchurian, Kabab Platter, Chips, Lager, Chilli Chicken, Sandwiches","North Indian, Chinese",1100.0,Pubs and bars,Church Street,1
Chin Lung Resto Bar,0,0,3.9,378,Residency Road,Bar,"Masala Peanuts, Beer, Chicken Lollipop, Pepper Chicken, Chilli Chicken, French Fries, Egg Bhurji","North Indian, Chinese, Fast Food",1000.0,Pubs and bars,Church Street,0
Amber Rush Restobar,0,1,4.1,93,Residency Road,Pub,"Cocktails, Pizza, Fries, Wings, Mango Phirni, Fish Grill","Continental, Chinese, Fast Food",1000.0,Pubs and bars,Church Street,0
EatWater,1,0,4.2,121,Lavelle Road,"Casual Dining, Bar","Saffron Pilaf, Banana Chips, Cheesecake, Tender Coconut Ice Cream, Paratha, Begun Pora, Mocha Chingri",North Eastern,1000.0,Pubs and bars,Church Street,0
The Grill House,1,1,4.1,765,Ulsoor,"Casual Dining, Bar","Steak, Burgers, Cocktails, Beer, Buffalo Wings, Pasta, Chicken Stroganoff","American, Mexican, Italian, Steak",1200.0,Pubs and bars,Church Street,1
Riwaz - The Ritz-Carlton,0,1,4.1,270,Residency Road,"Fine Dining, Bar","Tandoori Broccoli, Dal Makhani, Tamatar Ka Shorba, Kadhai Paneer, Raan, Kulfi, Biryani",North Indian,4000.0,Pubs and bars,Church Street,1
Fuel Resto Bar,0,0,4.2,38,Richmond Road,Bar,"Cocktails, Dal Makhani, Paneer Tikka, Butter Chicken, Garlic Naan, Tequila, Fish","Finger Food, Mediterranean, North Indian",2000.0,Pubs and bars,Church Street,0
The Lantern Restaurant & Bar - The Ritz-Carlton...,0,1,4.4,424,Residency Road,"Fine Dining, Bar","Dumplings, Momos, Chenin Blanc, Mapo Tofu, Egg Fried Rice, Noodles, Vegetarian",Chinese,3500.0,Pubs and bars,Church Street,1
Bootlegger,0,0,4.1,1543,Lavelle Road,Pub,"Beer, Cocktails, Beef Steak, Beef Chilli, Nachos, Pasta, Pizza","Continental, Steak",1200.0,Pubs and bars,Church Street,1
Le Rock,1,0,4.0,1205,Brigade Road,"Bar, Quick Bites","Cocktails, Pizza, Murgh Platter, Draught Beer, Chicken Wings, Veg Platter, Fries","Continental, Chinese",2000.0,Pubs and bars,Church Street,1
Fort Kochi,0,1,4.1,336,MG Road,"Casual Dining, Bar","Sea Food, Appam, Fish, Kerala Parotta, Sangria, Paratha, Cocktails","Kerala, Seafood",1800.0,Pubs and bars,Church Street,1
Matsuri - The Chancery Hotel,0,1,4.4,183,Lavelle Road,"Casual Dining, Bar","Squid Rings, Udon Noodle, Miso Soup, Tempura Prawns, Sushi Platter, Fish, Egg Custard",Japanese,1800.0,Pubs and bars,Church Street,0
Scottish Pub,0,0,3.9,190,St. Marks Road,Bar,"Wine, Beer, Chicken Pakora, Masala Corn, Pakoda, Garlic Chicken, French Fries",Finger Food,600.0,Pubs and bars,Church Street,0
WYT RestroPub,0,0,2.7,402,MG Road,Pub,"Tandoori Chicken, Onion Rings, Masala Peanuts, Draught Beer, Panneer Butter Masala, Cocktails","North Indian, Chinese",1000.0,Pubs and bars,Church Street,0
ThrowBack - Pub & Dine,0,0,3.9,234,Langford Town,"Bar, Casual Dining","Cocktails, Pizza, French Fries","Italian, North Indian, Continental",1000.0,Pubs and bars,Church Street,0
Atomic Lab,0,0,3.5,54,Lavelle Road,"Casual Dining, Bar","Cocktails, Pizza","Asian, North Indian, Continental",1800.0,Pubs and bars,Church Street,0
South Parade - The Chancery Hotel,0,0,3.1,123,Lavelle Road,"Casual Dining, Bar","Breakfast Buffet, Salads","North Indian, Continental, Chinese",1200.0,Pubs and bars,Church Street,0
Downtown,0,0,3.7,294,Residency Road,Pub,"Beer, Pepper Chicken, Cocktails, Masala Peanuts, French Fries","North Indian, Continental",1000.0,Pubs and bars,Church Street,0
Aqua - The Park Bangalore,0,1,4.0,195,MG Road,"Lounge, Bar","Cocktails, Mai Thai, Pizza, Lemon Basil Chicken","North Indian, Mediterranean, Chinese",3000.0,Pubs and bars,Church Street,0
Nandhini Paradise,0,1,3.6,277,St. Marks Road,"Casual Dining, Bar","Murgh Ghee Roast, Veg Thali, Chicken Chettinad, Chicken Kshatriya, Mutton Chops, Hyderabadi Biryani, Roti","Andhra, Chinese, North Indian",800.0,Pubs and bars,Church Street,0
The Hub - Ibis Hotel,0,0,3.5,29,Richmond Road,Bar,,"Finger Food, Fast Food, Continental",2200.0,Pubs and bars,Church Street,0
Retro Lounge Bar,0,1,3.8,108,Ulsoor,Bar,"Pepper Prawns, Fries, Chicken Biryani","North Indian, Chinese",1400.0,Pubs and bars,Church Street,0
Flame Pub & Restaurant - Brigade Garden,0,0,2.9,24,Brigade Road,"Bar, Casual Dining",,"North Indian, South Indian, Continental, Chinese",1900.0,Pubs and bars,Church Street,0
Page 3 Multicuisine Restaurant & Bar,0,0,3.5,14,Residency Road,Bar,,"North Indian, Chinese, Finger Food",800.0,Pubs and bars,Church Street,0
White Plate,0,1,4.2,258,MG Road,"Casual Dining, Bar","Cocktails, Tom Yum Soup, Lobster Bisque, Lobster Risotto, Pulled Pork, Lamb, Asparagus Risotto","Thai, Continental, North Indian",1500.0,Pubs and bars,Church Street,1
MM Bar & Restaurant,0,0,3.4,6,Shivajinagar,Bar,,"South Indian, North Indian",700.0,Pubs and bars,Church Street,0
Desi Deck,1,1,3.9,96,Brigade Road,"Casual Dining, Bar","Balti Gosht, Cocktails, Dal Makhani","Mughlai, North Indian, Desserts",1300.0,Pubs and bars,Church Street,0
The Charlton Bar,0,0,3.3,4,Residency Road,Bar,,"Chinese, North Indian",1000.0,Pubs and bars,Church Street,0
Amnesia - The Poolside Bar,0,0,3.7,15,Residency Road,"Casual Dining, Bar",,"North Indian, Chinese, Continental",2000.0,Pubs and bars,Church Street,0
Engine,0,0,3.3,16,Ulsoor,"Casual Dining, Bar",,"Biryani, South Indian, North Indian, Chinese, Mughlai",950.0,Pubs and bars,Church Street,0
Hammered,1,1,4.7,4677,Cunningham Road,"Pub, Cafe","Crispy Corn, Sangria, Chicken Satay, Masala Fries, Wood Fire Pizza, Pesto Pasta, Cocktails","North Indian, Thai, Japanese, Continental, Cafe",1300.0,Pubs and bars,Church Street,1
Strikers Sports Bar and Music,0,1,3.8,73,Shanti Nagar,Bar,Beer,"Continental, North Indian, Chinese",1200.0,Pubs and bars,Church Street,0
The Whiskey Bar,0,1,3.7,43,Race Course Road,Bar,,"Finger Food, North Indian",2800.0,Pubs and bars,Church Street,0
Nostradamus Bar & Lounge,0,0,3.6,14,Cunningham Road,Bar,,"North Indian, South Indian, Chinese, Continental",1500.0,Pubs and bars,Church Street,0
Lobby Cafe - Radha Regent,0,1,3.7,177,Electronic City,Casual Dining,"Fish, Salads, Dal Makhani, Burgers, Lunch Buffet","Continental, American, South Indian, Italian, North Indian, Chinese",1200.0,Buffet,Electronic City,0
The Big Barbeque,0,1,4.7,524,Electronic City,Casual Dining,"Panipuri, Chaat, Jalebi, Paan Kulfi, Paan Shot, Pasta, Soya Chaap","BBQ, North Indian, Continental, Chinese",1500.0,Buffet,Electronic City,1
Fire Station,0,1,4.4,808,Electronic City,"Pub, Casual Dining","Beer, Lasagne, Cocktails, Pizza, Churros, Chicken Pepper Fry, Chicken Tikka","Continental, Mexican, Burger, Desserts, Italian, Pizza, North Indian, Chinese",1200.0,Buffet,Electronic City,1
Barbeque Nation,0,1,4.3,1147,Electronic City,Casual Dining,"Chicken Grill, Paan Kulfi, Mocktails, Crispy Corn, Pasta, Fish Grill, Noodles","North Indian, European, Mediterranean, BBQ, Kebab",1600.0,Buffet,Electronic City,1
Onesta,1,1,4.5,860,Electronic City,"Casual Dining, Cafe","Pasta, Ravioli, Potato Wedges, Jalapeno Cheeseballs, Chicken Pizza, Lasagne, Veggie Pizza","Pizza, Cafe, Italian",600.0,Buffet,Electronic City,1
Time Traveller - Sai Vishram,1,0,4.2,882,Electronic City,Casual Dining,"Salads, Veg Buffet, Dahi Vada, Pasta, Vegetarian, Halwa, Noodles","Continental, North Indian, South Indian, Chinese",1100.0,Buffet,Electronic City,1
24@43 - The Oterra,0,1,4.1,268,Electronic City,Fine Dining,"Sunday Brunch, Tea, Salads, Vegetable Biryani, Momos, Pasta, Wine","North Indian, Asian, Continental",3000.0,Buffet,Electronic City,1
Citrus Cafe - Lemon Tree Hotel,0,1,3.9,285,Electronic City,Fine Dining,"Fish, Burgers, Omelette, Pasta, Salads, Dal Makhani, Breakfast Buffet","North Indian, Continental, South Indian",2200.0,Buffet,Electronic City,0
Keys Cafe - Keys Hotel,0,0,3.8,115,Electronic City,Casual Dining,"Rasgulla, Kulfi, Lunch Buffet, Pasta, Biryani, Fish Curry, Fish Grill","Chinese, Continental, North Indian",1200.0,Buffet,Electronic City,0
Bazaar - Zone By The Park,0,1,4.0,415,Electronic City,Casual Dining,"Salads, Chicken Tikka, Roti, Gulab Jamun, Lunch Buffet, Pasta, Salad","Continental, South Indian, North Indian, Asian",1400.0,Buffet,Electronic City,1
Fishing Boat - Hotel Goyal Residency,1,1,3.9,418,Electronic City,Casual Dining,"Sea Food, Prawn Biryani, Neer Dosa, Crab Sukha, Chicken Biryani, Fish, Murgh Ghee Roast","Seafood, North Indian, Chinese, Biryani",800.0,Buffet,Electronic City,0
Soul Indian Specialty - Svenska Design Hotel,1,1,3.7,266,Electronic City,Fine Dining,"Cocktails, Pasta, Fish, Dal Makhani, Salads, Coffee, Babaganush","North Indian, South Indian, Asian, Italian, Continental",2000.0,Buffet,Electronic City,0
Melange - Hotel Ekaa,1,1,3.2,426,Electronic City,Casual Dining,"Anjal Masala Fry, Pasta, Veg Platter, Biryani, Jeera Rice, Murgh Ghee Roast, Sea Food","North Indian, Chinese, Continental, Mangalorean",900.0,Buffet,Electronic City,0
Spotlight - The Golden Tulip,0,1,2.5,118,Electronic City,Casual Dining,"Salads, Gulab Jamun, Fish Curry, Lunch Buffet","North Indian, Chinese, Continental",850.0,Buffet,Electronic City,0
Ritz,0,0,3.5,43,Electronic City,Casual Dining,"Salads, Gulab Jamun","North Indian, Chinese, Thai, Continental",800.0,Buffet,Electronic City,0
It's Mirchi - Ramee Guestline Hotels,0,0,3.1,19,Electronic City,Casual Dining,,"Continental, Mughlai",1600.0,Buffet,Electronic City,0
The Dining Table - Sahar Pavillion,0,1,3.7,74,Electronic City,"Casual Dining, Bar","Biryani, Salads, Pasta, Cheese Balls","Chinese, Continental, North Indian, Pizza, South Indian",1500.0,Buffet,Electronic City,0
Seven Spices - Manipal County,0,0,2.8,38,Electronic City,Casual Dining,,"North Indian, Chinese, Continental",900.0,Buffet,Electronic City,0
Bamboo Shades,1,0,2.8,48,Electronic City,Casual Dining,,"Charcoal Chicken, Chinese, North Indian, Juices, Desserts, Seafood, South Indian",1000.0,Buffet,Electronic City,0
Brunch & Munch - Hotel Millennium Plaza,0,0,3.5,23,Electronic City,Casual Dining,,"North Indian, Chinese, Mangalorean, Andhra",1200.0,Buffet,Electronic City,0
Onesta,1,1,4.5,860,Electronic City,"Casual Dining, Cafe","Pasta, Ravioli, Potato Wedges, Jalapeno Cheeseballs, Chicken Pizza, Lasagne, Veggie Pizza","Pizza, Cafe, Italian",600.0,Cafes,Electronic City,1
Cafe Happytizing,1,0,4.1,351,Electronic City,Cafe,"Peri Peri Fries, Nachos, Pasta, Paratha, Peri Peri Chicken Pizza, Burgers, Noodles","Cafe, Sandwich, Pizza, North Indian, Mexican",700.0,Cafes,Electronic City,1
Biggies Burger 'n' More,1,0,3.9,176,Electronic City,Quick Bites,"Burgers, Chicken Bbq Burger, Mojito, French Fries, Hot Dog, Lamb Burger, Paneer Burger","Cafe, Burger, Beverages",650.0,Cafes,Electronic City,0
This Cafe Has No Name Cafe,1,0,3.2,79,Electronic City,Cafe,"Sandwiches, Rolls, Coffee, Burgers, French Fries","Cafe, Beverages",500.0,Cafes,Electronic City,0
She Brews,1,0,3.8,159,Electronic City,Cafe,"Coffee, Sandwich, Peri Peri Fries, Peri Peri Sizzler, White Sauce Pasta","Cafe, Continental, Thai, Chinese",400.0,Cafes,Electronic City,0
Rags on Fire,1,0,3.1,64,Electronic City,Cafe,"Soya Chaap, Biryani",Cafe,600.0,Cafes,Electronic City,0
Cafe Crumb'z,0,0,3.3,4,Electronic City,"Cafe, Dessert Parlor",,"Cafe, Beverages, Fast Food",300.0,Cafes,Electronic City,0
Chef Baker's,1,0,3.8,101,Electronic City,"Bakery, Quick Bites","Pizza, Waffles, Pasta, Sandwiches, Garlic Bread, Chicken Grill, Cheese Sandwich","Bakery, Fast Food, Pizza, Burger, Cafe",600.0,Cafes,Electronic City,0
Cuppa,1,0,3.0,119,Electronic City,Cafe,"French Fries, Veg Burger, Pancakes, English Breakfast, Omelette","Cafe, Fast Food, Continental",700.0,Cafes,Electronic City,0
Manasa Cool Cafe,1,0,3.2,7,Electronic City,Cafe,,"Fast Food, Juices, Cafe, Desserts",300.0,Cafes,Electronic City,0
Entree cafe,1,0,3.7,56,Electronic City,"Cafe, Bakery","Coffee, Burgers, French Fries","Cafe, Bakery, Desserts",400.0,Cafes,Electronic City,0
Cafe Coffee Day,0,0,3.7,28,Electronic City,Cafe,,"Cafe, Fast Food",900.0,Cafes,Electronic City,0
Magic Oven,0,0,4.0,134,Electronic City,"Cafe, Dessert Parlor","Sandwiches, Burgers, Coffee, Ginger Tea, Red Velvet, Chicken Penne, White Sauce Pasta","Cafe, Desserts",400.0,Cafes,Electronic City,0
The Hungry Shark Cafe,0,0,3.9,117,Electronic City,Cafe,"Nachos, Noodles, Burgers, Tea, Fries, Pasta, Chicken Burger","Cafe, Continental, Beverages",700.0,Cafes,Electronic City,0
KA 51 Restocafe,0,0,3.9,39,Electronic City,Cafe,,"Cafe, Mughlai",650.0,Cafes,Electronic City,0
Cafe HIGHRANGERS,1,0,3.3,4,Electronic City,Cafe,,"Cafe, Fast Food, Chinese",400.0,Cafes,Electronic City,0
24 Hours Coffee Drop - La Classic,0,0,3.4,9,Electronic City,Cafe,,Cafe,800.0,Cafes,Electronic City,0
The Chocolate Room,1,0,2.8,43,Electronic City,Cafe,,"Cafe, Beverages",600.0,Cafes,Electronic City,0
Lassi Adda,1,0,4.0,65,Electronic City,Beverage Shop,"Sweet Lassi, Corn Sandwich","Beverages, Sandwich, Fast Food",200.0,Delivery,Electronic City,0
Sitaar,1,1,3.8,88,Electronic City,Casual Dining,,"North Indian, Chinese",800.0,Delivery,Electronic City,0
FreshMenu,1,0,3.0,546,South Bangalore,Delivery,"Burgers, Salads, Lamb Burger, Noodles, Fish, Sandwich, Cheese Burger","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,Delivery,Electronic City,0
The Good Bowl,1,0,3.9,23,Electronic City,"Takeaway, Delivery",,"Italian, North Indian, Biryani",500.0,Delivery,Electronic City,0
Lassi Resto Cafe,1,0,3.7,152,Electronic City,"Beverage Shop, Quick Bites",Burgers,"Beverages, Fast Food",200.0,Delivery,Electronic City,0
Delhi Base Sri Food Court,1,0,3.9,505,Electronic City,Quick Bites,"Paratha, Biryani","North Indian, South Indian, Chinese, Street Food",250.0,Delivery,Electronic City,0
Wakhra Swaad,1,0,3.4,83,Electronic City,Quick Bites,"Tandoori Roti, Soya Chaap","North Indian, Biryani, Rolls, Beverages",300.0,Delivery,Electronic City,0
Indian Food Court,1,0,3.8,234,Electronic City,Quick Bites,"Paratha, Chicken Butter Masala, Chicken Parantha, Palak Paneer, Hariyali Chicken, Thali","North Indian, Chinese, Fast Food",400.0,Delivery,Electronic City,0
Maa Reddy's Hyderabadi Biryani House,1,0,3.0,50,Electronic City,Quick Bites,,"Biryani, Andhra, North Indian",500.0,Delivery,Electronic City,0
Fresh 'N' Grills,1,0,3.2,234,Electronic City,"Takeaway, Delivery",Aloo Paratha,"Sandwich, Salad, North Indian, Chinese",500.0,Delivery,Electronic City,0
New Punjabi Food Corner,1,1,4.0,960,Electronic City,Quick Bites,"Butter Chicken, Rumali Roti, Ghee Rice, Chicken Biryani, Panneer Butter Masala, Sweet Lassi, Lemon Chicken","North Indian, Chinese",500.0,Delivery,Electronic City,1
